DonorID,FirstName,LastName,Email,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore,Phone,Recency,DonorScore
D04597,Victoria,Harris,gonzalezkaren@parker.com,East Roger,TX,80773,2022-11-06,28,19971.21,1,68,(894) 062-7930 x5796,1076,0.8450197559819366
D02343,Angel,Ramos,priceleah@lee.com,Howardfurt,OH,28591,2022-05-07,26,24038.26,0,94,(217) 472-6723,1259,0.8444932022909196
D02770,April,Murphy,bassandre@simmons.com,Matthewberg,TN,79027,2022-06-10,28,20431.21,1,16,(347) 008-2637,1225,0.8438044188120674
D01949,Molly,Terry,sullivanandrea@flowers.com,Amandaport,DE,93097,2022-06-06,26,24493.76,0,99,(169) 944-4283 x9632,1229,0.8436029683233444
D03594,Holly,Schneider,amosley@gmail.com,Olsonburgh,WI,65392,2022-08-19,29,11275.55,1,100,(805) 791-6339,1155,0.8418752930624742
D04102,Aaron,Alvarez,karen92@smith.net,New Emilyland,ME,73414,2022-10-22,26,22218.29,1,58,(608) 973-6547 x7460,1091,0.8398539866518728
D00732,Denise,Anderson,alvarezjoshua@sandoval.com,East Jasonmouth,IN,58397,2022-06-05,26,24144.95,0,96,(080) 103-0221,1230,0.8380985255774431
D03119,Sheila,Burke,mackaaron@lopez.info,New Melissashire,MO,,2022-08-05,18,22724.77,1,95,(531) 043-0804,1169,0.8347872830168683
D04363,Jerry,Arnold,pmorales@hotmail.com,Draketon,SC,63289,2022-11-28,28,20364.19,1,60,(147) 882-4481 x5642,1054,0.8330545360236471
D04632,Christian,Conley,john80@poole-miller.net,Gordonhaven,UT,15351,2022-06-14,24,22197.7,1,23,,1221,0.8280309053895801
D00655,Lynn,Floyd,elee@johnson.biz,Ballchester,DE,83644,2022-11-21,26,16985.71,1,97,,1061,0.8277488246067652
D03801,David,Barr,marknavarro@freeman.com,Michaelport,ME,16756,2022-05-30,19,20300.31,1,75,(673) 868-0561 x062,1236,0.8255107809699401
D04067,Andrea,Brooks,christopher23@dixon.com,South Gerald,ND,15222,2022-06-13,19,22536.97,1,61,(174) 561-8512,1222,0.8248088856497592
D00877,John,Thomas,jeffrey34@hotmail.com,North Heatherborough,IA,,2022-06-10,24,16518.53,1,61,(645) 963-9468,1225,0.8222062843178458
D00737,Travis,Torres,iperez@wilson.com,East Theresaton,NM,52354,2022-05-25,20,16908.8,1,88,(159) 132-6842 x32635,1241,0.8220047271250294
D00895,James,Dennis,boydcynthia@yahoo.com,East Heatherbury,DC,40331,2022-04-30,27,10747.61,1,67,(247) 939-3348 x9140,1266,0.8219357626722171
D04272,Tony,Kim,aguilarbryce@copeland.com,Danielleberg,CO,56939,2023-02-26,25,21695.28,1,93,(006) 556-4245 x8197,964,0.8214963235788799
D01406,Daniel,Obrien,melanie93@gmail.com,Port Lindashire,CT,92375,2022-06-14,27,21260.94,0,96,(512) 904-5896,1221,0.8210510659606167
D03338,Maxwell,Mckee,nnielsen@rodriguez.com,East Denise,KS,,2022-04-27,22,20720.11,1,29,(451) 655-9151,1269,0.8197421588971782
D01748,Bryan,Nunez,zjohnson@munoz-weber.net,West Ashley,AR,66645,2023-02-09,26,21730.09,1,76,(032) 133-7800 x6840,981,0.8189657765613751
D04995,Justin,Gross,torresadam@smith.net,Port Maurice,KS,96864,2022-06-01,29,22625.14,0,60,(296) 643-1218 x8518,1234,0.8176263081062105
D00945,Matthew,Dillon,davidheath@hotmail.com,Daystad,AK,60593,2022-05-17,28,6638.88,1,91,(709) 819-2050 x91633,1249,0.8167643225136589
D02320,Kayla,Sims,trujillorobert@sutton.com,Patriciaborough,MN,47970,2023-01-03,25,24516.59,1,47,(863) 189-2786 x985,1018,0.8148890776184422
D04183,Amber,Smith,wmathews@hotmail.com,Joanport,MI,28434,2022-07-24,26,23057.33,0,97,(876) 756-6731,1181,0.8147352938458126
D02301,Cynthia,Fisher,dthompson@garcia-sanchez.biz,Michaelton,IL,80284,2022-04-05,15,23981.7,1,52,(115) 565-2927 x81362,1291,0.8136299704603366
D00196,Michelle,Dickson,annette60@hawkins-henry.com,East Kathrynhaven,DC,47031,2022-07-12,27,10814.26,1,81,(230) 070-8618,1193,0.8132776729720346
D04214,Jordan,Banks,andrewferrell@barry-werner.net,Campbelltown,NM,82978,2022-12-23,29,18110.64,1,57,(280) 133-2780,1029,0.8129122526544128
D04159,Charles,Ellis,xoconnor@hotmail.com,Gayfort,IL,83957,2022-05-13,20,17481.7,1,70,(061) 380-6490 x02880,1253,0.8122471362715288
D01935,Bryce,Spencer,courtney68@jones.info,Lake Bradleyfurt,IL,72023,2022-05-15,24,20658.91,1,10,(738) 654-3701,1251,0.8121637798869488
D03254,Jordan,Delgado,qanderson@johnson.com,Nicholasfort,ND,95311,2022-06-16,11,24960.56,1,100,(198) 504-7882 x55661,1219,0.8112269596762514
D02671,Kyle,Dawson,kstone@hotmail.com,Port Joshua,LA,40276,2022-07-08,25,13088.49,1,76,(737) 984-8002 x032,1197,0.8098638833819322
D03996,Thomas,Garcia,elizabethburke@wall.com,Davisport,CA,40512,2022-03-26,27,10430.39,1,46,(012) 884-5296 x9338,1301,0.8093701000124226
D00687,Brittney,Taylor,weberantonio@hotmail.com,South Carolyn,AZ,61346,2022-09-04,25,24732.21,0,100,(425) 656-8668 x058,1139,0.8088272267147961
D01859,Melissa,Adams,sonya14@hotmail.com,Carrhaven,WI,21113,2022-10-11,29,23756.28,0,84,(871) 957-1562,1102,0.808736754846792
D04931,David,Martin,mmanning@york.com,North Scott,AK,41074,2022-11-11,19,22673.68,1,91,(302) 167-3804 x767,1071,0.8079420469601684
D02930,Samantha,Bowen,patriciamcdaniel@zimmerman.com,East Dylanview,WY,73852,2022-04-12,16,21791.21,1,57,(242) 742-0784 x27171,1284,0.8078269954145747
D01274,Nathan,Crawford,michele58@hotmail.com,Port Phillip,WV,41534,2022-09-15,28,9342.72,1,99,(844) 133-3580 x2103,1128,0.8078255885660321
D02855,Jacob,James,pfields@yahoo.com,Kennethview,KS,21137,2022-11-05,29,19542.45,1,25,(003) 003-5275 x1728,1077,0.8073994891538243
D00490,Carrie,Graves,warebrian@hotmail.com,Port Christopher,NM,21800,2022-09-16,20,23548.8,1,56,(949) 725-4720 x47442,1127,0.8064258516926481
D02730,Casey,Nichols,millerkevin@yahoo.com,Lisamouth,OK,47827,2023-05-28,23,24820.24,1,99,(947) 785-4079 x45393,873,0.8056422232175428
D01502,Stephanie,Higgins,henrychristine@anderson.biz,Petersonside,AK,93399,2022-06-08,29,22371.15,0,52,(904) 015-0762,1227,0.8052737382342179
D04558,John,Johnson,ggarcia@yahoo.com,Matashire,NJ,15888,2022-06-21,25,16991.25,1,35,(305) 715-1959 x337,1214,0.8051424724648165
D02725,Rachel,Skinner,jessicajoseph@gmail.com,Bensonhaven,KY,95055,2022-09-28,27,14662.84,1,67,(029) 763-7755,1115,0.8050297408081301
D03958,Crystal,Martin,cobbwayne@yahoo.com,Port Rhonda,PA,35206,2022-07-11,28,24630.48,0,53,,1194,0.8049033013884432
D02063,Oscar,Knight,michaelobrien@phillips.net,Courtneyborough,GA,69537,2022-08-08,27,19880.92,1,8,(518) 077-8336,1166,0.8035290744696508
